protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,f_value,p_value,q_value,significant
sml0008,1586119.89456,1415774.7172700001,867274.5097360001,434624.076669,2211614.41482,1241710.83186,1616866.0038,967686.6560739999,5490521.02061,4709822.38727,3502842.3404599996,6061772.3398400005,3890410.53866,5097040.34525,5099986.0565599995,4767020.48675,4635089.57919,5583997.86208,5754378.98085,6154711.0777,34.53834270674263,2.1008809192610584e-07,7.288936596312037e-06,Yes
sll1188,2109037.48685,1265782.46017,1214553.93034,1506333.28602,1440563.1808799999,1298946.4521,1582219.39783,876263.741175,82983.60065519999,58118.1249426,313998.640943,191935.014677,170430.84458499998,29041.8740968,134112.667279,167319.09665,91652.61638810001,224530.582461,65146.129363,166756.991928,34.47355842126815,2.1273928876018147e-07,7.288936596312037e-06,Yes
sll0170,37839588.3772802,39333032.567614794,30926406.367226698,36766153.4030711,38057361.9536651,39224564.8581299,33678248.9777734,35346814.96506911,69285507.9236995,76087472.66740009,65883309.9100793,90461389.1651346,79209538.3958813,94467057.612408,94188296.39293559,91226766.0509392,120052847.967192,122684660.31508999,79756443.4750342,103270348.909339,34.45860414660541,2.1335664200048982e-07,7.288936596312037e-06,Yes
sll1579,117331869.578292,129345510.346699,119572681.812495,132537382.20122099,63451702.532814,131509071.384956,136742670.82218,137762098.177541,46582791.817535706,56989088.7274064,52454251.9872549,33382418.8239974,43514876.5763614,26686717.3560341,42447320.0926747,47382872.3664214,5163827.16257034,7232646.91790119,7734064.298647701,6184279.17188287,34.43760893564151,2.1422681035755805e-07,7.288936596312037e-06,Yes
sll1184,3191856.12531825,4007541.90025811,3349940.88334416,3235333.57322424,4026164.56999759,3996381.53022332,3604353.62651747,4263326.50291993,6565031.43365352,5830701.24307643,5658902.675548599,5984636.90097847,6536132.12912046,6726031.38168677,6212375.28287568,6393721.01435535,7762310.06597846,6843184.57947979,8847800.22538405,10055925.0048625,33.91841011528705,2.370797153202941e-07,7.853537593041778e-06,Yes
slr1282,3054361.99662,2965632.8298400003,2419001.8001,2870295.8911900003,4648491.719409999,3109760.3917900003,2778617.81325,273663.497603,2174099.42132,4559204.9823199995,5343468.59019,5472063.42018,7136250.935339999,7361123.95224,6618020.389330001,7674676.3245399995,12026184.0295,13979874.8493,9708980.28754,12260527.412999999,33.811729133668514,2.421104029907546e-07,7.853537593041778e-06,Yes
slr0083,1670091.55920515,2038803.79754367,1183123.79716172,2269417.13011569,914832.547411249,1142979.01999285,1080436.48006892,1330474.61374637,3353763.89715957,3458158.59012174,2746928.41261097,4384017.19295264,3169408.82848911,4882320.15991451,4092447.64546526,4010693.04461851,5284871.83947607,4853373.74134056,6388968.28025813,4834821.3248864,33.69589581736421,2.477101463038267e-07,7.853537593041778e-06,Yes
slr0542,4048304.65541439,4225324.40100062,5636615.29681055,5071583.37021516,2624891.65684652,4603599.63803168,4834857.59264568,4968966.12247287,1842377.1044689,933539.10878183,870454.0598678091,616776.259390786,1060160.12405897,722338.094498267,443857.87582273205,695699.036388146,349461.459022736,454048.949385382,793105.849236945,1548461.12720435,33.44622540230256,2.6028629702989515e-07,8.06887520792675e-06,Yes
sll1043,9917421.02468465,19288611.2883025,14216958.2960926,16786360.2523093,17111882.5796923,15357172.9387667,11833376.9224015,11512316.757939301,41214894.794590995,42754553.127303004,28706372.8456791,46701133.8720992,26514243.8733329,46580240.3469405,42580493.9757111,36247312.9348512,59200875.87328629,50131145.7789791,57149303.802598596,68259583.3885255,32.737337498143944,3.0012480221306523e-07,9.101610849722304e-06,Yes
slr0963,5331703.02946501,5996657.38676042,4232570.26116188,5199303.59664913,5684947.91689563,4893306.34396482,5030450.33922205,2830922.16712849,9754526.26314626,10242836.150976,6562266.86983109,12060622.813630499,6042528.93579074,11852309.490006698,10639063.5914953,9080740.12627778,16577961.3021233,15522470.3709314,17653345.299443103,18547925.736587804,32.44898116171974,3.182734683192592e-07,9.235042181873358e-06,Yes
